Name,Popularity,Followers,Genres,Average_top_song_length_in_min,Spotify_ID,Spotify_URL
ValsBezig,45,70033,['moombahton'],2.93,4tGJvDWhLFxzKRi94gc4a4,https://open.spotify.com/artist/4tGJvDWhLFxzKRi94gc4a4
Vieze Asbak,63,190847,"['hard techno', 'techno', 'tekno', 'gabber', 'hardcore techno', 'hardcore']",2.55,66FZq0wsY6770bc4O9Dlig,https://open.spotify.com/artist/66FZq0wsY6770bc4O9Dlig
Van Halen,75,6799088,"['glam metal', 'classic rock', 'rock', 'hard rock']",3.82,2cnMpRsOVqtPMfq7YiFE6K,https://open.spotify.com/artist/2cnMpRsOVqtPMfq7YiFE6K
VL Disappear,36,2584,[],2.7,1AiUxaTFSMRD7ucqwi55uy,https://open.spotify.com/artist/1AiUxaTFSMRD7ucqwi55uy
Vieze Jack,37,43037,['hollands'],3.0,14VHCbKz3ITlGgh8Ozni2L,https://open.spotify.com/artist/14VHCbKz3ITlGgh8Ozni2L
Van Dik Hout,47,75733,"['nederpop', 'hollands']",3.88,7t1YgV4PxSjBg9P8ZqE4Vo,https://open.spotify.com/artist/7t1YgV4PxSjBg9P8ZqE4Vo
Vogeljongen,36,38672,[],1.95,2LFdUrN4MRbTSE1hWCBO2O,https://open.spotify.com/artist/2LFdUrN4MRbTSE1hWCBO2O
Volviers,31,4984,[],1.97,66hYmw742R0tlMZA6iOVZS,https://open.spotify.com/artist/66hYmw742R0tlMZA6iOVZS
Van Morrison,74,3568875,[],3.8,44NX2ffIYHr6D4n7RaZF7A,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A
Vengaboys,67,572825,"['eurodance', 'europop']",3.39,0cwmNvclzPd8mQnoHuIksj,https://open.spotify.com/artist/0cwmNvclzPd8mQnoHuIksj
Vybz Kartel,71,2033376,"['dancehall', 'soca', 'ragga', 'riddim', 'reggae']",3.28,2NUz5P42WqkxilbI8ocN76,https://open.spotify.com/artist/2NUz5P42WqkxilbI8ocN76
Antonio Vivaldi,72,2704207,['classical'],2.99,2QOIawHpSlOwXDvSqQ9YJR,https://open.spotify.com/artist/2QOIawHpSlOwXDvSqQ9YJR
Vagant,50,518,[],,2ZywabPnRCoHjfPJfQavrA,https://open.spotify.com/artist/2ZywabPnRCoHjfPJfQavrA
Vance Joy,78,3463726,['folk pop'],3.7,10exVja0key0uqUkk6LJRT,https://open.spotify.com/artist/10exVja0key0uqUkk6LJRT
Paul Simon,71,2535260,['singer-songwriter'],4.11,2CvCyf1gEVhI0mX6aFXmVI,https://open.spotify.com/artist/2CvCyf1gEVhI0mX6aFXmVI
R.E.M.,76,5316946,"['jangle pop', 'alternative rock', 'rock']",4.29,4KWTAlx2RvbpseOGMEmROg,https://open.spotify.com/artist/4KWTAlx2RvbpseOGMEmROg
Ludwig van Beethoven,74,5688803,"['classical', 'classical piano', 'chamber music']",4.18,2wOqMjp9TyABvtHdOSOTUS,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS
2Pac,82,22319096,"['old school hip hop', 'gangster rap', 'west coast hip hop', 'g-funk', 'hip hop']",4.74,1ZwdS5xdxEREPySFridCfh,https://open.spotify.com/artist/1ZwdS5xdxEREPySFridCfh
Westside Gunn,71,809512,"['boom bap', 'alternative hip hop', 'jazz rap']",4.02,0ABk515kENDyATUdpCKVfW,https://open.spotify.com/artist/0ABk515kENDyATUdpCKVfW
WINSON,44,15822,"['hard techno', 'techno']",4.47,2z9op9COiMU6QquVfY8HTN,https://open.spotify.com/artist/2z9op9COiMU6QquVfY8HTN
Wet Leg,68,801589,"['indie rock', 'indie']",3.01,2TwOrUcYnAlIiKmVQkkoSZ,https://open.spotify.com/artist/2TwOrUcYnAlIiKmVQkkoSZ
Within Temptation,65,1406102,"['symphonic metal', 'gothic metal', 'gothic rock', 'power metal', 'metal']",4.49,3hE8S8ohRErocpkY7uJW4a,https://open.spotify.com/artist/3hE8S8ohRErocpkY7uJW4a
Wende,44,36167,['nederpop'],3.74,3SCB3V2d5Loauz5tfo6Y5G,https://open.spotify.com/artist/3SCB3V2d5Loauz5tfo6Y5G
Weval,56,201257,[],3.72,12tZvy2xFpWSkuJ3FsfisZ,https://open.spotify.com/artist/12tZvy2xFpWSkuJ3FsfisZ
The War On Drugs,62,1002268,['indie rock'],6.55,6g0mn3tzAds6aVeUYRsryU,https://open.spotify.com/artist/6g0mn3tzAds6aVeUYRsryU
Wu-Tang Clan,69,3672881,"['old school hip hop', 'east coast hip hop', 'hip hop', 'gangster rap', 'hardcore hip hop']",4.3,34EP7KEpOjXcM2TCat1ISk,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk
Wizkid,83,9087695,"['afrobeats', 'afrobeat', 'afropop', 'azonto', 'afroswing', 'afro r&b', 'afropiano']",3.33,3tVQdUvClmAT7URs9V3rsp,https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp
WC Experience,41,17346,['hollands'],3.48,0zigCF2JqtQSt3ghkdxmfv,https://open.spotify.com/artist/0zigCF2JqtQSt3ghkdxmfv
Winne,46,37860,[],4.08,5cMMheSnLhCt0YdwFkp3R9,https://open.spotify.com/artist/5cMMheSnLhCt0YdwFkp3R9
Wesly Bronkhorst,54,42983,['hollands'],2.93,6PBYhsdRwm1WbQC4GvNiCp,https://open.spotify.com/artist/6PBYhsdRwm1WbQC4GvNiCp
Wiz Khalifa,84,12041102,['rap'],3.68,137W8MRPWKqSmrBGDBFSop,https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop
